full_text,text_final,tokens,jumlah_pos_kata,jumlah_neg_kata,sentiment_score,sentiment_label
Makan gizi gratis hari ini wilayah Jakarta Utara #AwasiMBG #MakanBergiziGratis @barengwarga https://t.co/SIK5JPt7Sa,makan hari wilayah jakarta utara awas makan,"['makan', 'hari', 'wilayah', 'jakarta', 'utara', 'awas', 'makan']",1,0,3.0,POSITIVE
Rp 171 Triliun untuk #MakanBergiziGratis: #SriMulyani Ajak Bank Dukung Program #Prabowo https://t.co/YfwmyUzhUZ,rp triliun makan sri mulyani ajak bank dukung prabowo,"['rp', 'triliun', 'makan', 'sri', 'mulyani', 'ajak', 'bank', 'dukung', 'prabowo']",1,0,6.0,POSITIVE
Pemerintah berkomitmen untuk terus mencetak SDM unggul Bangsa Indonesia melalui Program Makan Bergizi Gratis tidak hanya sekadar memberikan makanan bergizi. #MakanBergiziGratis #PenggerakEkonomi #IndonesiaEmas2045 https://t.co/BdnpTUWScc,pemerintah komitmen terus cetak sdm unggul bangsa indonesia lalu makan sekadar beri makan makan gerak ekonomi indonesia emas,"['pemerintah', 'komitmen', 'terus', 'cetak', 'sdm', 'unggul', 'bangsa', 'indonesia', 'lalu', 'makan', 'sekadar', 'beri', 'makan', 'makan', 'gerak', 'ekonomi', 'indonesia', 'emas']",3,3,1.0,NEUTRAL
Dukung UMKM MBG berjalan tanpa beban! #MakanBergiziGratis https://t.co/RHNlyYWdiL,dukung umkm jalan beban makan,"['dukung', 'umkm', 'jalan', 'beban', 'makan']",1,1,2.0,POSITIVE
Ketua Komite III DPD RI Dr. Filep Wamafma respon terkait mitra Program Makan Bergizi Gratis yang mundur karena keterlambatan pembayaran oleh Pemerintah. Filep minta BGN segera evaluasi sistem pembayaran agar program ini dapat berjalan dengan lancar. #dpdri #komiteIII #MBG #BGN https://t.co/DMUJRWTU7C,ketua komite iii dpd ri filep wamafma respon kait mitra makan mundur keterlambatan bayar pemerintah filep minta bgn segera evaluasi sistem bayar jalan lancar dpdri komite iii bgn,"['ketua', 'komite', 'iii', 'dpd', 'ri', 'filep', 'wamafma', 'respon', 'kait', 'mitra', 'makan', 'mundur', 'keterlambatan', 'bayar', 'pemerintah', 'filep', 'minta', 'bgn', 'segera', 'evaluasi', 'sistem', 'bayar', 'jalan', 'lancar', 'dpdri', 'komite', 'iii', 'bgn']",5,4,1.0,NEUTRAL
Pemerintah berkomitmen untuk terus mencetak SDM unggul Bangsa Indonesia melalui Program Makan Bergizi Gratis tidak hanya sekadar memberikan makanan bergizi tetapi juga bertujuan untuk membangun generasi muda produktif #MakanBergiziGratis #PenggerakEkonomi #IndonesiaEmas2045 https://t.co/LWQPMOFJE3,pemerintah komitmen terus cetak sdm unggul bangsa indonesia lalu makan sekadar beri makan tuju bangun generasi muda produktif makan gerak ekonomi indonesia emas,"['pemerintah', 'komitmen', 'terus', 'cetak', 'sdm', 'unggul', 'bangsa', 'indonesia', 'lalu', 'makan', 'sekadar', 'beri', 'makan', 'tuju', 'bangun', 'generasi', 'muda', 'produktif', 'makan', 'gerak', 'ekonomi', 'indonesia', 'emas']",6,5,11.0,POSITIVE
Anggarkan Rp306 69 T Program MBG Disebut akan Buka Banyak Lapangan Pekerjaan Program makan bergizi gratis (MBG) diyakini mampu mendorong perputaran ekonomi di Tanah Air. Salah satunya dengan menciptakan banyak lapangan pekerjaan baru.#MBG #makanbergizigratis #srimulyani https://t.co/9MC5WDW5M6,anggar rp sebut buka banyak lapang kerja makan yakin mampu dorong putar ekonomi tanah air salah satu cipta banyak lapang kerja barumbg srimulyani,"['anggar', 'rp', 'sebut', 'buka', 'banyak', 'lapang', 'kerja', 'makan', 'yakin', 'mampu', 'dorong', 'putar', 'ekonomi', 'tanah', 'air', 'salah', 'satu', 'cipta', 'banyak', 'lapang', 'kerja', 'barumbg', 'srimulyani']",12,3,27.0,POSITIVE
Pemerintah saat ini sedang bersih2. Tetap percaya proses percayakan sepenuhnya pada Pak Presiden Prabowo dan Mas Wapres Gibran. #KerjaNyata #MBG #LaporMasWapres #TimeWillTell,pemerintah sedang bersih tetap percaya proses percaya sepenuh pak presiden prabowo mas wapres gibran kerja nyata lapor mas wapres time will tell,"['pemerintah', 'sedang', 'bersih', 'tetap', 'percaya', 'proses', 'percaya', 'sepenuh', 'pak', 'presiden', 'prabowo', 'mas', 'wapres', 'gibran', 'kerja', 'nyata', 'lapor', 'mas', 'wapres', 'time', 'will', 'tell']",6,4,6.0,POSITIVE
Program Makan Bergizi Gratis merupakan program prioritas Pemerintah Indonesia yang sejalan dengan program SGDs. Jadi kita semua harus dukung dan pastikan seluruh anak Indonesia mendapatkan manfaat ini! #makangratis #makanbergiziuntukmasadepan #mbg #prabowo https://t.co/Yj2fsYJAHc,makan rupa prioritas pemerintah indonesia jalan sgds jadi semua dukung pasti seluruh anak indonesia dapat manfaat makanbergiziuntukmasadepan prabowo,"['makan', 'rupa', 'prioritas', 'pemerintah', 'indonesia', 'jalan', 'sgds', 'jadi', 'semua', 'dukung', 'pasti', 'seluruh', 'anak', 'indonesia', 'dapat', 'manfaat', 'makanbergiziuntukmasadepan', 'prabowo']",7,2,24.0,POSITIVE
Kepala Badan Gizi Nasional (BGN) Dadan Hindayana memastikan bahwa program Makan Bergizi Gratis (MBG) akan tetap berjalan selama bulan Ramadan. Di mana akan ada makanan yang dibawa pulang ke rumah. #mbg #makanbergizigratis #lip6alv https://t.co/5TxLgFAV5R,kepala badan nasional bgn dad hindayana pasti makan tetap jalan lama bulan ramadan mana makan bawa pulang rumah lipalv,"['kepala', 'badan', 'nasional', 'bgn', 'dad', 'hindayana', 'pasti', 'makan', 'tetap', 'jalan', 'lama', 'bulan', 'ramadan', 'mana', 'makan', 'bawa', 'pulang', 'rumah', 'lipalv']",4,4,-2.0,NEGATIVE
Polri bersama Badan Gizi Nasional (BGN) dan Yayasan Kemala Bhayangkari (YKB) mengadakan uji coba masak dan distribusi Makan Bergizi Gratis di SPPG Pejaten (Jaksel) dan Cipinang (Jaktim). #MakanBergiziGratis #SPPGPejaten #SPPGCipinang #PolriPeduli #BGN #KemalaBhayangkari https://t.co/Vjo75bQEjT,polri sama badan nasional bgn yayasan kemala bhayangkari ykb ada uji coba masak distribusi makan sppg pejaten jaksel cipinang jaktim makan sppg pejaten sppg cipinang polri peduli bgn kemala bhayangkari,"['polri', 'sama', 'badan', 'nasional', 'bgn', 'yayasan', 'kemala', 'bhayangkari', 'ykb', 'ada', 'uji', 'coba', 'masak', 'distribusi', 'makan', 'sppg', 'pejaten', 'jaksel', 'cipinang', 'jaktim', 'makan', 'sppg', 'pejaten', 'sppg', 'cipinang', 'polri', 'peduli', 'bgn', 'kemala', 'bhayangkari']",4,4,-2.0,NEGATIVE
Selama Ramadhan MBG di Kebumen Tetap Ada Makanan Bisa Dibawa Pulang #pemkabkebumen #mbg https://t.co/ODb1TI1two,lama ramadhan kebumen tetap makan bawa pulang pemkabkebumen,"['lama', 'ramadhan', 'kebumen', 'tetap', 'makan', 'bawa', 'pulang', 'pemkabkebumen']",2,2,-1.0,NEUTRAL
Dukung program makan bergizi gratis untuk generasi yang lebih sehat dan cerdas! Karena setiap anak berhak tumbuh dengan nutrisi yang cukup. Mari bersama wujudkan masa depan yang lebih baik! #MakanBergiziGratis #SehatCerdasBersama https://t.co/yZewP8N2Et,dukung makan generasi lebih sehat cerdas anak hak tumbuh nutrisi cukup sama wujud masa depan lebih baik makan sehat cerdas sama,"['dukung', 'makan', 'generasi', 'lebih', 'sehat', 'cerdas', 'anak', 'hak', 'tumbuh', 'nutrisi', 'cukup', 'sama', 'wujud', 'masa', 'depan', 'lebih', 'baik', 'makan', 'sehat', 'cerdas', 'sama']",13,2,53.0,POSITIVE
Program MBG Serap Susu Hasil Koperasi #Mbg #jumat #prabowo #jatim #programprioritas #koperasi #lpdb #susu #beritanasional https://t.co/5IyvDfJiJ2,serap susu hasil koperasi jumat prabowo jatim programprioritas koperasi lpdb susu beritanasional,"['serap', 'susu', 'hasil', 'koperasi', 'jumat', 'prabowo', 'jatim', 'programprioritas', 'koperasi', 'lpdb', 'susu', 'beritanasional']",1,3,-3.0,NEGATIVE
Makan Bergizi Gratis Tetap Berjalan di Bulan Ramadan @kompascom #MakanBergiziGratis #RamadanBerkah #GenerasiSehatKuat #DukungGiziUntukAnak #AnakSehatAnakCerdas #MasaDepanCerah #BerbagiKebaikan https://t.co/zXnvQOs4l8,makan tetap jalan bulan ramadan makan ramadan berkah generasi sehat kuat dukung anak anak sehat anak cerdas masa depan cerah bagi baik,"['makan', 'tetap', 'jalan', 'bulan', 'ramadan', 'makan', 'ramadan', 'berkah', 'generasi', 'sehat', 'kuat', 'dukung', 'anak', 'anak', 'sehat', 'anak', 'cerdas', 'masa', 'depan', 'cerah', 'bagi', 'baik']",11,4,35.0,POSITIVE
Anak Anak Papua Menikmati Program Makan Bergizi Gratis #makanbergizi #makanbergizigratis https://t.co/DXUEBu6e75,anak anak papua nikmat makan makanbergizi,"['anak', 'anak', 'papua', 'nikmat', 'makan', 'makanbergizi']",3,0,10.0,POSITIVE
Antusias Murid Saat Pengecekan Program Makan Bergizi Gratis oleh Wakil Presiden Kebahagiaan terlihat di wajah para murid sa! @kompascom #MakanBergiziGratis #AnakSehatAnakCerdas #DukungGiziUntukAnak #MasaDepanCerah #PendidikanUntukSemua #BerbagiKebaikan https://t.co/fUaikmuHfe,antusias murid kece makan wakil presiden bahagia lihat wajah murid sa makan anak sehat anak cerdas dukung anak masa depan cerah didik semua bagi baik,"['antusias', 'murid', 'kece', 'makan', 'wakil', 'presiden', 'bahagia', 'lihat', 'wajah', 'murid', 'sa', 'makan', 'anak', 'sehat', 'anak', 'cerdas', 'dukung', 'anak', 'masa', 'depan', 'cerah', 'didik', 'semua', 'bagi', 'baik']",14,5,39.0,POSITIVE
MBG tetap jalan selama Ramadhan makanannya untuk buka puasa #Makanbergizigratis https://t.co/TCgLGQefsR,tetap jalan lama ramadhan makan buka puasa,"['tetap', 'jalan', 'lama', 'ramadhan', 'makan', 'buka', 'puasa']",2,2,2.0,POSITIVE
Pemerintah berkomitmen untuk terus mencetak SDM unggul Bangsa Indonesia melalui Program Makan Bergizi Gratis untuk membangun generasi muda yang sehat dan produktif #MakanBergiziGratis #PenggerakEkonomi #IndonesiaEmas2045 #TingkatkanGiziIndonesia https://t.co/JOPEkIwZs9,pemerintah komitmen terus cetak sdm unggul bangsa indonesia lalu makan bangun generasi muda sehat produktif makan gerak ekonomi indonesia emas tingkat indonesia,"['pemerintah', 'komitmen', 'terus', 'cetak', 'sdm', 'unggul', 'bangsa', 'indonesia', 'lalu', 'makan', 'bangun', 'generasi', 'muda', 'sehat', 'produktif', 'makan', 'gerak', 'ekonomi', 'indonesia', 'emas', 'tingkat', 'indonesia']",6,4,13.0,POSITIVE
Antusias Murid Saat Pengecekan Program Makan Bergizi Gratis oleh Wakil Presiden @kompas #MakanBergiziGratis #AnakSehatAnakCerdas #DukungGiziUntukAnak #MasaDepanCerah #PendidikanUntukSemua #BerbagiKebaikan https://t.co/hXQZj8JVJD,antusias murid kece makan wakil presiden makan anak sehat anak cerdas dukung anak masa depan cerah didik semua bagi baik,"['antusias', 'murid', 'kece', 'makan', 'wakil', 'presiden', 'makan', 'anak', 'sehat', 'anak', 'cerdas', 'dukung', 'anak', 'masa', 'depan', 'cerah', 'didik', 'semua', 'bagi', 'baik']",11,5,29.0,POSITIVE
Makan bergizi gratis penting untuk tumbuh kembang anak. Selama bulan Ramadhan program ini tetap berjalan. #Prabowo #Gibran #MakanBergiziGratis https://t.co/WKO84MjFgn,makan penting tumbuh kembang anak lama bulan ramadhan tetap jalan prabowo gibran makan,"['makan', 'penting', 'tumbuh', 'kembang', 'anak', 'lama', 'bulan', 'ramadhan', 'tetap', 'jalan', 'prabowo', 'gibran', 'makan']",5,2,9.0,POSITIVE
MBG membantu meningkatkan kualitas hidup masyarakat! #MBGIndonesia #MakanBergiziGratis https://t.co/3mf0pDJSk9,bantu tingkat kualitas hidup masyarakat indonesia makan,"['bantu', 'tingkat', 'kualitas', 'hidup', 'masyarakat', 'indonesia', 'makan']",2,2,2.0,POSITIVE
Momen menggemaskan! Seorang siswa SD menulis surat cinta untuk Pak Prabowo sebagai ungkapan terima kasih atas program makan bergizi gratis. Bukti bahwa perhatian dan kepedulian bisa menyentuh hati anak-anak Indonesia. #MakanBergiziGratis #AnakIndonesiaSehat https://t.co/FkZ6SYTHvK,momen gemas orang siswa sd tulis surat cinta pak prabowo ungkap terima kasih atas makan bukti perhati peduli sentuh hati anak anak indonesia makan anak indonesia sehat,"['momen', 'gemas', 'orang', 'siswa', 'sd', 'tulis', 'surat', 'cinta', 'pak', 'prabowo', 'ungkap', 'terima', 'kasih', 'atas', 'makan', 'bukti', 'perhati', 'peduli', 'sentuh', 'hati', 'anak', 'anak', 'indonesia', 'makan', 'anak', 'indonesia', 'sehat']",12,3,34.0,POSITIVE
Program Makan Bergizi Gratis untuk mempercepat penurunan kasus stunting di Papua. #MakanBergiziGratis #MBGDorongEkonomi #MBGPapua #PapuaViral #ElonMusk #GrandeFratello #DukungSwasembadaPangan,makan cepat turun kasus stunting papua makan dorong ekonomi papua papua viral elon musk grande fratello dukung swasembada pangan,"['makan', 'cepat', 'turun', 'kasus', 'stunting', 'papua', 'makan', 'dorong', 'ekonomi', 'papua', 'papua', 'viral', 'elon', 'musk', 'grande', 'fratello', 'dukung', 'swasembada', 'pangan']",2,2,1.0,NEUTRAL
BGN pastikan program MBG tetap berjalan selama Ramadan dengan mekanisme berbeda. Kepala BGN Dadan mengatakan pihaknya masih mematangkan konsep distribusi makanan bagi siswa yang berpuasa maupun tidak. Selengkapnya klik https://t.co/7eduCudGFh #mbg #ramadan #menu #puasa https://t.co/6YHWxAtS98,bgn pasti tetap jalan lama ramadan mekanisme beda kepala bgn dad kata pihak matang konsep distribusi makan siswa puasa maupun lengkap klik ramadan menu puasa,"['bgn', 'pasti', 'tetap', 'jalan', 'lama', 'ramadan', 'mekanisme', 'beda', 'kepala', 'bgn', 'dad', 'kata', 'pihak', 'matang', 'konsep', 'distribusi', 'makan', 'siswa', 'puasa', 'maupun', 'lengkap', 'klik', 'ramadan', 'menu', 'puasa']",4,6,-7.0,NEGATIVE
@recehtapisayng Program MBG Fondasi Generasi Papua Berkualitas #MBG #MakanBergiziGratis #PapuaBarat https://t.co/lghsXVrY89,fondasi generasi papua kualitas makan papua barat,"['fondasi', 'generasi', 'papua', 'kualitas', 'makan', 'papua', 'barat']",1,2,-2.0,NEGATIVE
Makanan bergizi merupakan investasi untukmasa depan cemerlang! Program MBG hadir untuk memastikan setiap anak mendapatkan asupan nutrisi yang cukup demi generasi Indonesia yang lebih sehat dan kuat! #PenuhiGiziIndonesia #MakanBergiziGratis https://t.co/pZ0Mhci7aT,makan rupa investasi untukmasa depan cemerlang hadir pasti anak dapat asupan nutrisi cukup generasi indonesia lebih sehat kuat penuh indonesia makan,"['makan', 'rupa', 'investasi', 'untukmasa', 'depan', 'cemerlang', 'hadir', 'pasti', 'anak', 'dapat', 'asupan', 'nutrisi', 'cukup', 'generasi', 'indonesia', 'lebih', 'sehat', 'kuat', 'penuh', 'indonesia', 'makan']",10,2,33.0,POSITIVE
Dengan Program Makan Bergizi Gratis (MBG) kita pastikan setiap anak Indonesia mendapatkan nutrisi terbaik. Dukung terus agar tidak ada lagi anak yang kelaparan! #PenuhiGiziIndonesia #MakanBergiziGratis https://t.co/qLyJVy7Iae,makan pasti anak indonesia dapat nutrisi baik dukung terus anak lapar penuh indonesia makan,"['makan', 'pasti', 'anak', 'indonesia', 'dapat', 'nutrisi', 'baik', 'dukung', 'terus', 'anak', 'lapar', 'penuh', 'indonesia', 'makan']",7,2,18.0,POSITIVE
Presiden Prabowo berharap anak Indonesia semakin kuat melalui adanya program MBG #ProgramMBG #MakanBergiziGratis #DukungMBG #IndonesiaEmas2045 https://t.co/QBh87YBDWj,presiden prabowo harap anak indonesia makin kuat lalu ada makan dukung indonesia emas,"['presiden', 'prabowo', 'harap', 'anak', 'indonesia', 'makin', 'kuat', 'lalu', 'ada', 'makan', 'dukung', 'indonesia', 'emas']",7,0,27.0,POSITIVE
Program MBG Meningkatkan Kemampuan Akademis Generasi Muda Indonesia #ProgramMBG #MakanBergiziGratis #DukungMBG #IndonesiaEmas2045 https://t.co/rtbJCSVuFM,tingkat mampu akademis generasi muda indonesia makan dukung indonesia emas,"['tingkat', 'mampu', 'akademis', 'generasi', 'muda', 'indonesia', 'makan', 'dukung', 'indonesia', 'emas']",2,3,1.0,NEUTRAL
Program Makan Bergizi Gratis (MBG) yang diinisiasi oleh Presiden Prabowo merupakan langkah positif dalam mengatasi masalah kekurangan gizi anak-anak di Indonesia khususnya di bagian Timur #MBG #PAPUA #PRESIDEN #INDONESIA #PRABOWO Gerak Selamat Lebaran https://t.co/y8rw7OCXGh,makan inisiasi presiden prabowo rupa langkah positif atas masalah kurang anak anak indonesia khusus bagi timur papua presiden indonesia prabowo gerak selamat lebaran,"['makan', 'inisiasi', 'presiden', 'prabowo', 'rupa', 'langkah', 'positif', 'atas', 'masalah', 'kurang', 'anak', 'anak', 'indonesia', 'khusus', 'bagi', 'timur', 'papua', 'presiden', 'indonesia', 'prabowo', 'gerak', 'selamat', 'lebaran']",9,3,20.0,POSITIVE
PROGRAM MAKAN BERGIZI GRATIS BENTUK NYATA PEMERINTAH SELAMATKAN GENERASI EMAS KHUSUSNYA DI TANAH PAPUA JADI MARI TONG DUKUNG SAMA-SAMA JANGAN MAU TERPROVOKASI #PRABOWO #PAPUA #MBG Gerak Selamat Lebaran https://t.co/zpOMwlEoBr,makan bentuk nyata pemerintah selamat generasi emas khusus tanah papua jadi tong dukung sama sama jangan mau provokasi prabowo papua gerak selamat lebaran,"['makan', 'bentuk', 'nyata', 'pemerintah', 'selamat', 'generasi', 'emas', 'khusus', 'tanah', 'papua', 'jadi', 'tong', 'dukung', 'sama', 'sama', 'jangan', 'mau', 'provokasi', 'prabowo', 'papua', 'gerak', 'selamat', 'lebaran']",9,2,25.0,POSITIVE
Dukung Pemerintah optimasi tata kelola anggaran makan bergizi gratis untuk sejahterakan masyarakat #MBG https://t.co/fUAe5jdMOZ,dukung pemerintah optimasi tata kelola anggaran makan sejahtera masyarakat,"['dukung', 'pemerintah', 'optimasi', 'tata', 'kelola', 'anggaran', 'makan', 'sejahtera', 'masyarakat']",2,0,9.0,POSITIVE
Lebaran ieu rada ngabret euy punten tos 2 porsi yamin baso #thankgod #mbg #eidmubarak #eidnggakena,lebaran ieu rada ngabret euy punten tos porsi yamin baso thankgod eidmubarak eidnggakena,"['lebaran', 'ieu', 'rada', 'ngabret', 'euy', 'punten', 'tos', 'porsi', 'yamin', 'baso', 'thankgod', 'eidmubarak', 'eidnggakena']",1,0,4.0,POSITIVE
@berbagiwawasanp Program MBG merupakan solusi jangka panjang untuk mendukung pendidikan dan kualitas hidup anak-anak Indonesia. #PenuhiGiziIndonesia #MakanBergiziGratis,rupa solusi jangka panjang dukung didik kualitas hidup anak anak indonesia penuh indonesia makan,"['rupa', 'solusi', 'jangka', 'panjang', 'dukung', 'didik', 'kualitas', 'hidup', 'anak', 'anak', 'indonesia', 'penuh', 'indonesia', 'makan']",9,2,25.0,POSITIVE
Tokoh Pemuda Raja Ampat Dukung Program Makan Bergizi Gratis. - #MakanBergiziGratis #PapuaBaratDaya #KotaSorong #Sorong #SorongSelatan #maybrat #Tambrauw #RajaAmpat https://t.co/9I95OoK1J1,tokoh pemuda raja ampat dukung makan makan papua barat daya kota sorong sorong sorong selatan maybrat tambrauw raja ampat,"['tokoh', 'pemuda', 'raja', 'ampat', 'dukung', 'makan', 'makan', 'papua', 'barat', 'daya', 'kota', 'sorong', 'sorong', 'sorong', 'selatan', 'maybrat', 'tambrauw', 'raja', 'ampat']",5,2,15.0,POSITIVE
@berbagiwawasanp Keterlibatan dunia internasional menunjukkan kredibilitas dan potensi Program MBG di tingkat global. #PenuhiGiziIndonesia #MakanBergiziGratis,libat dunia internasional tunjuk kredibilitas potensi tingkat global penuh indonesia makan,"['libat', 'dunia', 'internasional', 'tunjuk', 'kredibilitas', 'potensi', 'tingkat', 'global', 'penuh', 'indonesia', 'makan']",2,4,-6.0,NEGATIVE
@berbagiwawasanp MBG adalah langkah konkret dalam mempercepat pencapaian tujuan pembangunan berkelanjutan. #PenuhiGiziIndonesia #MakanBergiziGratis,langkah konkret cepat capai tuju bangun lanjut penuh indonesia makan,"['langkah', 'konkret', 'cepat', 'capai', 'tuju', 'bangun', 'lanjut', 'penuh', 'indonesia', 'makan']",6,2,15.0,POSITIVE
Pemerintah menunjukkan komitmen tinggi dalam membangun sumber daya manusia melalui MBG. #PenuhiGiziIndonesia #MakanBergiziGratis,pemerintah tunjuk komitmen tinggi bangun sumber daya manusia lalu penuh indonesia makan,"['pemerintah', 'tunjuk', 'komitmen', 'tinggi', 'bangun', 'sumber', 'daya', 'manusia', 'lalu', 'penuh', 'indonesia', 'makan']",6,2,13.0,POSITIVE
Program MBG merupakan kebijakan strategis yang harus terus diperkuat guna membentuk generasi unggul. #PenuhiGiziIndonesia #MakanBergiziGratis,rupa kebijakan strategis terus kuat bentuk generasi unggul penuh indonesia makan,"['rupa', 'kebijakan', 'strategis', 'terus', 'kuat', 'bentuk', 'generasi', 'unggul', 'penuh', 'indonesia', 'makan']",5,2,15.0,POSITIVE
@updatecakrawala Investasi gizi = investasi generasi unggul! #PenuhiGiziIndonesia #MakanBergiziGratis,investasi investasi generasi unggul penuh indonesia makan,"['investasi', 'investasi', 'generasi', 'unggul', 'penuh', 'indonesia', 'makan']",1,2,-1.0,NEUTRAL
@updatecakrawala Terobosan besar untuk kemajuan masyarakat! #PenuhiGiziIndonesia #MakanBergiziGratis,terobos besar maju masyarakat penuh indonesia makan,"['terobos', 'besar', 'maju', 'masyarakat', 'penuh', 'indonesia', 'makan']",1,1,1.0,NEUTRAL
@updatecakrawala Harus terus didukung! Anak-anak layak mendapatkan gizi terbaik! #PenuhiGiziIndonesia #MakanBergiziGratis,terus dukung anak anak layak dapat baik penuh indonesia makan,"['terus', 'dukung', 'anak', 'anak', 'layak', 'dapat', 'baik', 'penuh', 'indonesia', 'makan']",7,1,26.0,POSITIVE
